Timestamp,X,Y,Z
2569-08-21 12:24:36.708,0.01336962,0.6872417,0.3042936
2569-08-21 12:24:36.716,0.01336962,0.6872417,0.3042936
2569-08-21 12:24:36.717,0.01381565,0.6871947,0.3043033
2569-08-21 12:24:36.717,0.01381565,0.6871947,0.3043033
2569-08-21 12:24:36.732,0.01411548,0.6871636,0.3043081
2569-08-21 12:24:36.732,0.01411548,0.6871636,0.3043081
2569-08-21 12:24:36.741,0.01411548,0.6871636,0.3043081
2569-08-21 12:24:36.742,0.01466529,0.6871077,0.3043134
2569-08-21 12:24:36.742,0.01466529,0.6871077,0.3043134
2569-08-21 12:24:36.753,0.01492845,0.6869249,0.3044955
2569-08-21 12:24:36.753,0.01492845,0.6869249,0.3044955
2569-08-21 12:24:36.762,0.01492845,0.6869249,0.3044955
2569-08-21 12:24:36.762,0.01521886,0.6867246,0.3046933
2569-08-21 12:24:36.762,0.01521886,0.6867246,0.3046933
2569-08-21 12:24:36.777,0.01542464,0.68652,0.3049046
2569-08-21 12:24:36.777,0.01542464,0.68652,0.3049046
2569-08-21 12:24:36.787,0.01542464,0.68652,0.3049046
2569-08-21 12:24:36.797,0.01573209,0.6860508,0.3054041
2569-08-21 12:24:36.798,0.01573209,0.6860508,0.3054041
2569-08-21 12:24:36.807,0.01573209,0.6860508,0.3054041
2569-08-21 12:24:36.807,0.01613471,0.6854469,0.306038
2569-08-21 12:24:36.807,0.01613471,0.6854469,0.306038
2569-08-21 12:24:36.817,0.01613471,0.6854469,0.306038
2569-08-21 12:24:36.818,0.01626677,0.6851431,0.3063623
2569-08-21 12:24:36.818,0.01626677,0.6851431,0.3063623
2569-08-21 12:24:36.826,0.01640903,0.684819,0.3067058
2569-08-21 12:24:36.827,0.01640903,0.684819,0.3067058
2569-08-21 12:24:36.835,0.01640903,0.684819,0.3067058
2569-08-21 12:24:36.843,0.01638513,0.6844639,0.307102
2569-08-21 12:24:36.843,0.01638513,0.6844639,0.307102
2569-08-21 12:24:36.852,0.01634296,0.6838393,0.3077922
2569-08-21 12:24:36.852,0.01634296,0.6838393,0.3077922
2569-08-21 12:24:36.862,0.01634296,0.6838393,0.3077922
2569-08-21 12:24:36.863,0.0163137,0.6834077,0.3082646
2569-08-21 12:24:36.863,0.0163137,0.6834077,0.3082646
2569-08-21 12:24:36.872,0.01627949,0.6829047,0.3088098
2569-08-21 12:24:36.872,0.01627949,0.6829047,0.3088098
2569-08-21 12:24:36.880,0.01627949,0.6829047,0.3088098
2569-08-21 12:24:36.888,0.01624575,0.6824102,0.3093408
2569-08-21 12:24:36.888,0.01624575,0.6824102,0.3093408
2569-08-21 12:24:36.896,0.01624575,0.6824102,0.3093408
2569-08-21 12:24:36.899,0.01618849,0.6815748,0.3102267
2569-08-21 12:24:36.899,0.01618849,0.6815748,0.3102267
2569-08-21 12:24:36.912,0.01612022,0.6805846,0.3112588
2569-08-21 12:24:36.912,0.01612022,0.6805846,0.3112588
2569-08-21 12:24:36.926,0.01612022,0.6805846,0.3112588
2569-08-21 12:24:36.933,0.01605645,0.6796654,0.3122
2569-08-21 12:24:36.933,0.01605645,0.6796654,0.3122
2569-08-21 12:24:36.948,0.01605645,0.6796654,0.3122
2569-08-21 12:24:36.954,0.01594469,0.6780665,0.3137996
2569-08-21 12:24:36.954,0.01594469,0.6780665,0.3137996
2569-08-21 12:24:36.968,0.01594469,0.6780665,0.3137996
2569-08-21 12:24:36.979,0.01583106,0.676456,0.315364
2569-08-21 12:24:36.979,0.01583106,0.676456,0.315364
2569-08-21 12:24:36.992,0.01583106,0.676456,0.315364
2569-08-21 12:24:36.999,0.01568216,0.6743668,0.3173272
2569-08-21 12:24:36.999,0.01568216,0.6743668,0.3173272
2569-08-21 12:24:37.014,0.01568216,0.6743668,0.3173272
2569-08-21 12:24:37.014,0.01568216,0.6743668,0.3173272
2569-08-21 12:24:37.023,0.01554448,0.672455,0.3190609
2569-08-21 12:24:37.023,0.01554448,0.672455,0.3190609
2569-08-21 12:24:37.038,0.01554448,0.672455,0.3190609
2569-08-21 12:24:37.044,0.01537504,0.6701266,0.3210949
2569-08-21 12:24:37.044,0.01537504,0.6701266,0.3210949
2569-08-21 12:24:37.079,0.01537504,0.6701266,0.3210949
2569-08-21 12:24:37.079,0.01537504,0.6701266,0.3210949
2569-08-21 12:24:37.079,0.01508399,0.6661832,0.3243574
